variable,table,description,data_type,logic
mode_acc,trip_unlinked,Travel mode to transit,integer/categorical,"if mode_1, mode_2, mode_3, or mode_4 = ""Regular bus (public transit)"", ""other bus, shuttle, or vanpool (private services or shuttles for older adults and people with disabilities)"", ""rail (e.g., train, light rail, streetcar)"", and/or ""ferry or water taxi"""
travelers_total,trip_unlinked,Number of total travelers on trip (including self),integer/categorical,NA
travelers_hh,trip_unlinked,Number of household members on trip (including self),numeric,NA
travelers_nonhh,trip_unlinked,Number of non-household members on trip,integer/categorical,NA
hhmember1,trip_unlinked,Household member 1 was on trip,integer/categorical,NA
hhmember2,trip_unlinked,Household member 2 was on trip,integer/categorical,NA
hhmember3,trip_unlinked,Household member 3 was on trip,integer/categorical,NA
hhmember4,trip_unlinked,Household member 4 was on trip,integer/categorical,NA
hhmember5,trip_unlinked,Household member 5 was on trip,integer/categorical,NA
hhmember6,trip_unlinked,Household member 6 was on trip,integer/categorical,NA
hhmember7,trip_unlinked,Household member 7 was on trip,integer/categorical,NA
hhmember8,trip_unlinked,Household member 8 was on trip,integer/categorical,NA
hhmember9,trip_unlinked,Household member 9 was on trip,integer/categorical,NA
hhmember10,trip_unlinked,Household member 10 was on trip,integer/categorical,NA
hhmember11,trip_unlinked,Household member 11 was on trip,integer/categorical,NA
hhmember12,trip_unlinked,Household member 12 was on trip,integer/categorical,NA
hhmember13,trip_unlinked,Household member 13 was on trip,integer/categorical,NA
driver,trip_unlinked,"Driver or passenger on auto trip, non-taxi",integer/categorical,"if mode = auto (non-taxi), hhlicenses = ""yes"", and travel party has more than 1 passenger older than 15"
origin_purpose_cat,trip_unlinked,Origin purpose category (derived),integer/categorical,NA
origin_purpose,trip_unlinked,Origin purpose,integer/categorical,NA
dest_purpose_cat,trip_unlinked,Destination purpose category (derived),integer/categorical,NA
dest_purpose,trip_unlinked,Destination purpose,integer/categorical,NA
dest_purpose_other,trip_unlinked,Other trip destination textbox answer,character,"if d_purpose_other = ""selected"""
user_merged,trip_unlinked,User merged 2 or more trips,integer/categorical,if hhgroup = rMove
user_split,trip_unlinked,User split trip,integer/categorical,if hhgroup = rMove
user_added,trip_unlinked,User added trip,integer/categorical,NA
copied_trip,trip_unlinked,Trip was copied from another HH member,integer/categorical,NA
flag_teleport,trip_unlinked,>=250m gap occurs after trip,integer/categorical,if hhgroup = rMove
analyst_split,trip_unlinked,Analyst split trip,integer/categorical,if hhgroup = rMove
analyst_merged,trip_unlinked,Analyst merged two or more trips,integer/categorical,if hhgroup = rMove
analyst_split_loop,trip_unlinked,Analyst split loop trip into two trips,integer/categorical,if hhgroup = rMove
linked_trip_id,trip_unlinked,Linked trip ID,numeric,NA
linked_trip_num,trip_unlinked,Sequential number of the linked trip,numeric,NA
n_legs,trip_unlinked,Number of legs on the linked trip,numeric,NA
is_transit,trip_unlinked,Trip is transit leg of linked trip.,integer/categorical,if linked trip
is_access,trip_unlinked,Trip is access leg of linked trip,integer/categorical,if linked trip
is_egress,trip_unlinked,Trip is egress leg of linked trip,integer/categorical,if linked trip
has_access,trip_unlinked,Has access,integer/categorical,NA
has_egress,trip_unlinked,Has egress,integer/categorical,NA
transit_quality_flag,trip_unlinked,Transit quality flag,character,NA
has_synthetic_access,trip_unlinked,Has synthetic access,integer/categorical,NA
has_synthetic_egress,trip_unlinked,Has synthetic egress,integer/categorical,NA
person_id,trip_unlinked,Person unique identifier,character,NA
traveldate_start,trip_unlinked,First travel date,date,NA
pernum,trip_unlinked,Person number in household,numeric,NA
traveldate_end,trip_unlinked,Last travel date,date,NA
tripid,location,Trip ID (unique),numeric,NA
accuracy,location,Accuracy of location point in meters,numeric,NA
bearing,location,Bearing (direction) of location point (0-360 degrees),numeric,NA
speed,location,"Speed at time of location collection, mph",numeric,NA
collect_time,location,Timestamp of location point collected UTC time,datetime,NA
lat,location,Latitude of location point,numeric,NA
lon,location,Longitude of location point,numeric,NA
survey_year,trip_linked,Survey data collection year,numeric,NA
hhid,trip_linked,Unique identifier for each household,character,NA
day_id,trip_linked,Unique identifier for each person day,numeric,NA
daynum,trip_linked,Diary day sequence,numeric,NA
depart_date,trip_linked,Date of departure,date,NA
depart_time_hour,trip_linked,Departure time hour,numeric,NA
depart_time_minute,trip_linked,Departure time minute,numeric,NA
depart_time_second,trip_linked,Departure time second,numeric,NA
arrive_date,trip_linked,Date of arrival,date,NA
arrival_time_hour,trip_linked,Arrival time hour,numeric,NA
arrival_time_minute,trip_linked,Arrival time minute,numeric,NA
arrival_time_second,trip_linked,Arrival time second,numeric,NA
duration_minutes,trip_linked,Duration (in minutes). Calculated as the difference between start and stop time of the trip.,numeric,NA
dwell_mins,trip_linked,"Dwell minutes.  Minutes spent at destination location, calculated as the time elapsed between the trip arrive time and the depart time of the next trip. Zero if the trip is the last trip made by the person.",numeric,NA
origin_lng,trip_linked,Origin longitude,numeric,NA
origin_lat,trip_linked,Origin latitude,numeric,NA
dest_lng,trip_linked,Destination longitude,numeric,NA
dest_lat,trip_linked,Destination latitude,numeric,NA
hhmember1,trip_linked,Household member 1 was on trip,integer/categorical,NA
hhmember2,trip_linked,Household member 2 was on trip,integer/categorical,NA
hhmember3,trip_linked,Household member 3 was on trip,integer/categorical,NA
hhmember4,trip_linked,Household member 4 was on trip,integer/categorical,NA
hhmember5,trip_linked,Household member 5 was on trip,integer/categorical,NA
hhmember6,trip_linked,Household member 6 was on trip,integer/categorical,NA
hhmember7,trip_linked,Household member 7 was on trip,integer/categorical,NA
hhmember8,trip_linked,Household member 8 was on trip,integer/categorical,NA
hhmember9,trip_linked,Household member 9 was on trip,integer/categorical,NA
hhmember10,trip_linked,Household member 10 was on trip,integer/categorical,NA
hhmember11,trip_linked,Household member 11 was on trip,integer/categorical,NA
hhmember12,trip_linked,Household member 12 was on trip,integer/categorical,NA
hhmember13,trip_linked,Household member 13 was on trip,integer/categorical,NA
origin_purpose_cat,trip_linked,Origin purpose category (derived),integer/categorical,NA
origin_purpose,trip_linked,Origin purpose,integer/categorical,NA
dest_purpose_cat,trip_linked,Destination purpose category (derived),integer/categorical,NA
dest_purpose,trip_linked,Destination purpose,integer/categorical,NA
linked_trip_mode,trip_linked,Linked trip primary mode,integer/categorical,NA
linked_trip_weight,trip_linked,Linked trip weight,numeric,NA
linked_trip_id,trip_linked,Linked trip ID,numeric,NA
linked_trip_num,trip_linked,Sequential number of the linked trip,numeric,NA
person_id,trip_linked,Person unique identifier,character,NA
pernum,trip_linked,Person number in household,numeric,NA
