variable,description,logic
test_q_flag,Did the participant answer 'Very Comfortable' to indicate they were paying attention and did they select 'Strongly Disagree' to indicate they were paying attention?,NA
time_to_complete,"How long did the participant take to complete the survey, in seconds?",NA
time_flag,Did the participant take less than 10 minutes to complete the survey?,NA
rsg_rec,RSG recommended as complete,NA
home_lat,Geocoded home address latitude,if postcard participant
home_lon,Geocoded home address longitude,if postcard participant
home_loc_flag,Type of geocoding used to determine home location,if postcard participant
work_lon,Geocoded work address longitude,if postcard participant and employ is not No
work_lat,Geocoded work address latitude,if postcard participant and employ is not No
work_loc_flag,Type of geocoding used to determine work location,if postcard participant and employ is not No
invite_lat,Latitude of invitation address,NA
invite_lon,Longitude of invitation address,NA
hhid,Household ID,NA
person_id,Person ID,NA
platform,Method of invitation,NA
same_answer_count,Count of answers with the same response in the first 14 questions,NA
