variable,is_checkbox,hh,person,day,trip,vehicle,location,data_type,description,logic,shared_name,
origin_lat,0,0,0,0,1,0,0,numeric,Origin latitude,Origin latitude,origin_lat,
origin_lng,0,0,0,0,1,0,0,numeric,Origin longitude,Origin longitude,origin_lng,
origin_name,0,0,0,0,1,0,0,character,Origin name,Origin name,origin_name,
origin_purpose,0,0,0,0,1,0,0,integer/categorical,Origin purpose,Origin purpose,origin_purpose,
origin_purpose_cat,0,0,0,0,1,0,0,integer/categorical,Origin purpose category (derived),Origin purpose category (derived),origin_purpose_cat,
origin_purpose_cat_5,0,0,0,0,1,0,0,integer/categorical,Origin purpose category (5 categories),Origin purpose category (5 categories),origin_purpose_cat_5,
origin_rgcname,0,0,0,0,1,0,0,integer/categorical,Origin location: Regional Growth Center,Origin location: Regional Growth Center,origin_rgcname,
origin_tract10,0,0,0,0,1,0,0,character,Origin Census Tract 2010,Origin Census Tract 2010,origin_tract10,
origin_tract20,0,0,0,0,1,0,0,character,Origin Census Tract 2020,Origin Census Tract 2020,origin_tract20,
origin_x_coord,0,0,0,0,1,0,0,numeric,Origin: X coordinate,Origin: X coordinate,origin_x_coord,
origin_y_coord,0,0,0,0,1,0,0,numeric,Origin: Y coordinate,Origin: Y coordinate,origin_y_coord,
participate,0,0,1,0,0,0,0,integer/categorical,Respondent is willing to be recontacted for future transportation research,Respondent is willing to be recontacted for future transportation research,participate,
pernum,0,0,1,1,1,0,0,numeric,Person number in household,Person number in household,pernum,
person_id,0,0,1,1,1,0,0,character,Person unique identifier,Person unique identifier,person_id,
person_pct_trips_flagged,0,0,1,0,0,0,0,numeric,Percent of person's total trip traces flagged,Percent of person's total trip traces flagged,person_pct_trips_flagged,
person_weight,0,0,1,0,0,0,0,numeric,Person-level weight,Person-level weight,person_weight,
person_weight_2017_2019_combined,0,0,1,0,0,0,0,NA,NA,NA,NA,
point_dist_index,0,0,0,0,1,0,0,numeric,Percentage points over expected for largest distance between two points on trip,Percentage points over expected for largest distance between two points on trip,point_dist_index,
prev_home_county,0,1,0,0,0,0,0,integer/categorical,Previous home address: County ,Previous home address: County ,prev_home_county,
prev_home_jurisdiction,0,1,0,0,0,0,0,integer/categorical,Previous home address: Jurisdiction,Previous home address: Jurisdiction,prev_home_jurisdiction,
prev_home_lat,0,1,0,0,0,0,0,numeric,Previous home address latitude,Previous home address latitude,prev_home_lat,
prev_home_lng,0,1,0,0,0,0,0,numeric,Previous home address longitude,Previous home address longitude,prev_home_lng,
prev_home_notwa_city,0,1,0,0,0,0,0,character,Previous home address city,Previous home address city,prev_home_notwa_city,
prev_home_notwa_state,0,1,0,0,0,0,0,integer/categorical,Previous home address state,Previous home address state,prev_home_notwa_state,
prev_home_notwa_zip,0,1,0,0,0,0,0,character,Previous home address zip,Previous home address zip,prev_home_notwa_zip,
prev_home_rgcname,0,1,0,0,0,0,0,integer/categorical,Previous home address Regional Growth Center name,Previous home address Regional Growth Center name,prev_home_rgcname,
prev_home_tract20,0,1,0,0,0,0,0,character,Previous home address: Census tract,Previous home address: Census tract,prev_home_tract20,
prev_home_wa,0,1,0,0,0,0,0,integer/categorical,Previous home in State of Washington (WA),Previous home in State of Washington (WA),prev_home_wa,
prev_rent_own,0,1,0,0,0,0,0,integer/categorical,Previous home tenure status,Previous home tenure status,prev_rent_own,
prev_res_factors_amenities,0,1,0,0,0,0,0,integer/categorical,"Important factor in decision to move away from prior residence -- To have better access to recreation, restaurants, shops, and other amenities","Important factor in decision to move away from prior residence -- To have better access to recreation, restaurants, shops, and other amenities",prev_res_factors,
prev_res_factors_community_change,0,1,0,0,0,0,0,integer/categorical,"Important factor in decision to move away from prior residence -- Friends, family, or cultural community were leaving the area","Important factor in decision to move away from prior residence -- Friends, family, or cultural community were leaving the area",prev_res_factors_community_change,
prev_res_factors_crime,0,1,0,0,0,0,0,integer/categorical,Important factor in decision to move away from prior residence -- Concerns about safety or crime,Important factor in decision to move away from prior residence -- Concerns about safety or crime,prev_res_factors,
prev_res_factors_employment,0,1,0,0,0,0,0,integer/categorical,"Important factor in decision to move away from prior residence -- Employment or commuting considerations (e.g., to take new job or shorten commute)","Important factor in decision to move away from prior residence -- Employment or commuting considerations (e.g., to take new job or shorten commute)",prev_res_factors,
prev_res_factors_forced,0,1,0,0,0,0,0,integer/categorical,"Important factor in decision to move away from prior residence -- Forced to move out (e.g., building demolished or renovated, asked to leave by landlord, foreclosure)","Important factor in decision to move away from prior residence -- Forced to move out (e.g., building demolished or renovated, asked to leave by landlord, foreclosure)",prev_res_factors_forced,
prev_res_factors_hh_size,0,1,0,0,0,0,0,integer/categorical,"Important factor in decision to move away from prior residence -- Changes in household size, establish own household","Important factor in decision to move away from prior residence -- Changes in household size, establish own household",prev_res_factors_hh,
prev_res_factors_housing_cost,0,1,0,0,0,0,0,integer/categorical,Important factor in decision to move away from prior residence -- Could no longer afford previous residence because of an increase in rent or housing costs,Important factor in decision to move away from prior residence -- Could no longer afford previous residence because of an increase in rent or housing costs,prev_res_factors_housing_cost,
prev_res_factors_income_change,0,1,0,0,0,0,0,integer/categorical,Important factor in decision to move away from prior residence -- Could no longer afford previous residence because of a change in income or finances,Important factor in decision to move away from prior residence -- Could no longer afford previous residence because of a change in income or finances,prev_res_factors_income_change,
prev_res_factors_less_space,0,1,0,0,0,0,0,integer/categorical,Important factor in decision to move away from prior residence -- Needed less space,Important factor in decision to move away from prior residence -- Needed less space,prev_res_factors_less,
prev_res_factors_more_space,0,1,0,0,0,0,0,integer/categorical,Important factor in decision to move away from prior residence -- Needed more space,Important factor in decision to move away from prior residence -- Needed more space,prev_res_factors_more,
prev_res_factors_no_answer,0,1,0,0,0,0,0,integer/categorical,Important factor in decision to move away from prior residence -- Prefer not to answer,Important factor in decision to move away from prior residence -- Prefer not to answer,prev_res_factors_no,
prev_res_factors_other,0,1,0,0,0,0,0,integer/categorical,Important factor in decision to move away from prior residence -- Other,Important factor in decision to move away from prior residence -- Other,prev_res_factors,
prev_res_factors_quality,0,1,0,0,0,0,0,integer/categorical,Important factor in decision to move away from prior residence -- To upgrade to a better quality home or to stop renting and buy a home,Important factor in decision to move away from prior residence -- To upgrade to a better quality home or to stop renting and buy a home,prev_res_factors,
prev_res_factors_school,0,1,0,0,0,0,0,integer/categorical,Important factor in decision to move away from prior residence -- Access to a different K-12 school,Important factor in decision to move away from prior residence -- Access to a different K-12 school,prev_res_factors,
prev_res_factors_specify,0,1,0,0,0,0,0,character,"Other factor in decision to move away from prior residence, write-in text","Other factor in decision to move away from prior residence, write-in text",prev_res_factors_specify,
prev_res_factors_telework,0,1,0,0,0,0,0,integer/categorical,Important factor in decision to move away from prior residence -- Employer's telework policy removed need to live in previous residence,Important factor in decision to move away from prior residence -- Employer's telework policy removed need to live in previous residence,prev_res_factors,
prev_res_type,0,1,0,0,0,0,0,integer/categorical,Previous home residence type,Previous home residence type,prev_res_type,
proxy,0,0,1,0,0,0,0,numeric,Percentage points over expected for largest distance between two points on trip,Percentage points over expected for largest distance between two points on trip,point_dist_index,
proxy_complete,0,0,0,1,0,0,0,integer/categorical,Proxy completion status,Proxy completion status,proxy_complete,
proxy_parent,0,0,1,0,0,0,0,integer/categorical,Person is proxy reporter for children in household,Person is proxy reporter for children in household,proxy_parent,
pt_density,0,0,0,0,1,0,0,numeric,Location points per minute (time adjusted for probable trip splitting),Location points per minute (time adjusted for probable trip splitting),pt_density,
race_afam,1,0,1,0,0,0,0,integer/categorical,Race -- African American or Black,Race -- African American or Black,race,
race_aiak,1,0,1,0,0,0,0,integer/categorical,Race -- American Indian or Alaska Native,Race -- American Indian or Alaska Native,race,
race_asian,1,0,1,0,0,0,0,integer/categorical,Race -- Asian,Race -- Asian,race,
race_category,0,0,1,0,0,0,0,integer/categorical,Race Group,Race Group,race_category,
race_hapi,1,0,1,0,0,0,0,integer/categorical,Race -- Native Hawaiian or Pacific Islander,Race -- Native Hawaiian or Pacific Islander,race,
race_hisp,0,0,1,0,0,0,0,integer/categorical,Race -- Hispanic,Race -- Hispanic,race,
race_noanswer,1,0,1,0,0,0,0,integer/categorical,Race -- Prefer not to answer,Race -- Prefer not to answer,race,
race_other,1,0,1,0,0,0,0,integer/categorical,Race -- Other,Race -- Other,race,
race_other_specify,0,0,1,0,0,0,0,character,Other race textbox answer,Other race textbox answer,race_other_specify,
race_white,1,0,1,0,0,0,0,integer/categorical,Race -- White,Race -- White,race,
relationship,0,0,1,0,0,0,0,integer/categorical,Relationship to primary respondent,Relationship to primary respondent,relationship,
remote_class_freq,0,0,1,0,0,0,0,integer/categorical,"How often the person attends classes online from a location that is not school (e.g., home, library, coffee shop)","How often the person attends classes online from a location that is not school (e.g., home, library, coffee shop)",remote_class_freq,
rent_own,0,1,0,0,0,0,0,integer/categorical,Residence tenure status,Residence tenure status,rent_own,
res_dur,0,1,0,0,0,0,0,integer/categorical,How long lived in current residence,How long lived in current residence,res_dur,
res_months,0,1,0,0,0,0,0,integer/categorical,Months per year live in residence where survey invitation received,Months per year live in residence where survey invitation received,res_months,
res_type,0,1,0,0,0,0,0,integer/categorical,Type of residence,Type of residence,res_type,
sample_segment,0,1,0,0,0,0,0,integer/categorical,Sample segment,Sample segment,sample_segment,
school_county,0,0,1,0,0,0,0,integer/categorical,School address: County,School address: County,school_county,
school_freq,0,0,1,0,0,0,0,integer/categorical,How often travels to school,How often travels to school,school_freq,
school_in_region,0,0,1,0,0,0,0,integer/categorical,School is in PSRC MPO area,School is in PSRC MPO area,school_in_region,
school_jurisdiction,0,0,1,0,0,0,0,integer/categorical,School address Jurisdiction,School address Jurisdiction,school_jurisdiction,
school_loc_lat,0,0,1,0,0,0,0,numeric,School address latitude,School address latitude,school_loc_lat,
school_loc_lng,0,0,1,0,0,0,0,numeric,School address longitude,School address longitude,school_loc_lng,
school_mode_typical,0,0,1,0,0,0,0,integer/categorical,How does child/adult student typically travel to/from school or daycare,How does child/adult student typically travel to/from school or daycare,school_mode_typical,
school_rgcname,0,0,1,0,0,0,0,integer/categorical,School address Regional Growth Center name,School address Regional Growth Center name,school_rgcname,
school_tract20,0,0,1,0,0,0,0,character,School address: Census Tract,School address: Census Tract,school_tract20,
schooltype,0,0,1,0,0,0,0,integer/categorical,Type of school attended,Type of school attended,schooltype,
second_home,0,0,1,0,0,0,0,integer/categorical,"Person regularly spends the night at a second home (e.g., another parent or grandparent's house, partner or spouses' home, vacation home)","Person regularly spends the night at a second home (e.g., another parent or grandparent's house, partner or spouses' home, vacation home)",second_home,
second_home_in_region,0,0,1,0,0,0,0,integer/categorical,Second home is in PSRC MPO area,Second home is in PSRC MPO area,second_home_in_region,
second_home_lat,0,0,1,0,0,0,0,numeric,Second home latitude,Second home latitude,second_home_lat,
second_home_lon,0,0,1,0,0,0,0,numeric,Second home longitude,Second home longitude,second_home_lon,
sexuality,0,0,1,0,0,0,0,integer/categorical,Sexuality,Sexuality,sexuality,
share_1,0,0,1,0,0,0,0,integer/categorical,Typical travel methods -- Walk (outside for 15-minutes or more),Typical travel methods -- Walk (outside for 15-minutes or more),share_1,
share_2,0,0,1,0,0,0,0,integer/categorical,Typical travel methods -- Bike (outside for 15-minutes or more),Typical travel methods -- Bike (outside for 15-minutes or more),share_2,
share_3,0,0,1,0,0,0,0,integer/categorical,"Typical travel methods -- Transit (e.g., bus, rail, ferry)","Typical travel methods -- Transit (e.g., bus, rail, ferry)",share_3,
share_4,0,0,1,0,0,0,0,integer/categorical,"Typical travel methods -- Rideshare (Uber, Lyft, other smartphone-app car service)","Typical travel methods -- Rideshare (Uber, Lyft, other smartphone-app car service)",share_4,
share_5,0,0,1,0,0,0,0,integer/categorical,"Typical travel methods -- Carshare (e.g., Turo, ZipCar, Getaround, GIG)","Typical travel methods -- Carshare (e.g., Turo, ZipCar, Getaround, GIG)",share_5,
share_996,0,0,1,0,0,0,0,integer/categorical,Typical travel methods -- None of the above,Typical travel methods -- None of the above,share_996,
speed_flag,0,0,0,0,1,0,0,integer/categorical,Unusually high speed given mode,Unusually high speed given mode,speed_flag,
speed_mph,0,0,0,0,1,0,0,numeric,Trip speed in miles per hour (derived),Trip speed in miles per hour (derived),speed_mph,
student,0,0,1,0,0,0,0,integer/categorical,Student status,Student status,student,
summary_complete,0,0,0,1,0,0,0,integer/categorical,Daily survey is complete,Daily survey is complete,summary_complete,
survey_year,0,1,1,1,1,1,0,integer/categorical,Survey data collection year,Survey data collection year,survey_year,
surveyable,0,0,1,1,0,0,0,integer/categorical,Survey participant is related to person 1,Survey participant is related to person 1,surveyable,
svy_complete,0,0,0,0,1,0,0,integer/categorical,Trip survey is complete,Trip survey is complete,svy_complete,
taxi_cost_int,0,0,0,0,1,0,0,numeric,Amount paid for taxi,Amount paid for taxi,taxi_cost_int,
taxi_cost_known,0,0,0,0,1,0,0,integer/categorical,Knows amount paid for taxi,Knows amount paid for taxi,taxi_cost_known,
telecommute_freq,0,0,1,0,0,0,0,integer/categorical,How many days typically working from home,How many days typically working from home,telecommute_freq,
telework_time,0,0,0,1,0,0,0,integer/categorical,Telework time on travel day,Telework time on travel day,telework_time,
tnc_freq,0,0,1,0,0,0,0,integer/categorical,"How often the person has used Uber, Lyft, or other smartphone-app car services in the past 30 days","How often the person has used Uber, Lyft, or other smartphone-app car services in the past 30 days",tnc_freq,
toll_transponder,0,0,0,0,0,1,0,integer/categorical,Vehicle has toll transponder,Vehicle has toll transponder,toll_transponder,
trace_quality_flag,0,0,0,0,1,0,0,integer/categorical,Flag. Trip trace data of poor quality,Flag. Trip trace data of poor quality,trace_quality_flag,
tran_pass_1,0,0,1,0,0,0,0,integer/categorical,Available and typically use when riding transit: Cash,if ridden transit in past 30 days,tran_pass_1,
tran_pass_10,0,0,1,0,0,0,0,integer/categorical,Available and typically use when riding transit: Ride free,if ridden transit in past 30 days,tran_pass_10,
tran_pass_11,0,0,1,0,0,0,0,integer/categorical,Available and typically use when riding transit: Other,if ridden transit in past 30 days,tran_pass_11,
tran_pass_12,0,0,1,0,0,0,0,integer/categorical,School pays for part of all of pass value,"if age = 12+, travels to school, and uses transit pass",tran_pass_12,
tran_pass_2,0,0,1,0,0,0,0,integer/categorical,Available and typically use when riding transit: Tickets,if ridden transit in past 30 days,tran_pass_2,
tran_pass_3,0,0,1,0,0,0,0,integer/categorical,Available and typically use when riding transit: ORCA card,if ridden transit in past 30 days,tran_pass_3,
tran_pass_4,0,0,1,0,0,0,0,integer/categorical,Available and typically use when riding transit: UPass or Husky Card,if ridden transit in past 30 days,tran_pass_4,
tran_pass_5,0,0,1,0,0,0,0,integer/categorical,Available and typically use when riding transit: Regional Reduced-Fare Permit,if ridden transit in past 30 days,tran_pass_5,
tran_pass_6,0,0,1,0,0,0,0,integer/categorical,Available and typically use when riding transit: Flexpass/Passport,if ridden transit in past 30 days,tran_pass_6,
tran_pass_7,0,0,1,0,0,0,0,integer/categorical,Available and typically use when riding transit: Access Pass,if ridden transit in past 30 days,tran_pass_7,
tran_pass_8,0,0,1,0,0,0,0,integer/categorical,Available and typically use when riding transit: School District Card/Pass,if ridden transit in past 30 days,tran_pass_8,
tran_pass_9,0,0,1,0,0,0,0,integer/categorical,Available and typically use when riding transit: City/County Employee Badge,if ridden transit in past 30 days,tran_pass_9,
transit_freq,0,0,1,0,0,0,0,integer/categorical,"How often the person used transit (e.g., bus, rail, ferry) in the past 30 days","How often the person used transit (e.g., bus, rail, ferry) in the past 30 days",transit_freq,
transit_pass,0,0,1,0,0,0,0,integer/categorical,Respondent has transit pass,Respondent has transit pass,transit_pass,
travel_date,0,0,0,1,1,0,0,date,Travel date,Travel date,travel_date,
travel_day,0,0,0,1,1,0,0,integer/categorical,Is travel day,Is travel day,travel_day,
travel_dow,0,0,0,1,1,0,0,integer/categorical,Travel day of week,Travel day of week,travel_dow,
traveldate_end,0,1,1,0,0,0,0,date,Last travel date,Last travel date,traveldate_end,
traveldate_start,0,1,1,0,0,0,0,date,First travel date,First travel date,traveldate_start,
travelers_hh,0,0,0,0,1,0,0,numeric,Number of household members on trip (including self),Number of household members on trip (including self),travelers_hh,
travelers_nonhh,0,0,0,0,1,0,0,integer/categorical,Number of non-household members on trip,Number of non-household members on trip,travelers_nonhh,
travelers_total,0,0,0,0,1,0,0,integer/categorical,Number of total travelers on trip (including self),Number of total travelers on trip (including self),travelers_total,
trip_id,0,0,0,0,1,0,1,character,Trip ID (unique),Trip ID (unique),trip_id,
trip_weight,0,0,0,0,1,0,0,numeric,Trip weight,Trip weight,trip_weight,
trip_weight_2017_2019_combined,0,0,0,0,1,0,1,NA,NA,NA,NA,
tripnum,0,0,0,0,1,0,0,numeric,Trip sequence number,Trip sequence number,tripnum,
trips_yesno,0,0,0,1,0,0,0,integer/categorical,Made trips on travel day (derived for children under 18 in 2021),Made trips on travel day (derived for children under 18 in 2021),trips_yesno,
user_added,0,0,0,0,1,0,0,integer/categorical,User added trip,User added trip,user_added,
user_merged,0,0,0,0,1,0,0,integer/categorical,User merged 2 or more trips,User merged 2 or more trips,user_merged,
user_split,0,0,0,0,1,0,0,integer/categorical,User split trip,User split trip,user_split,
vehicle_count,0,1,0,0,0,0,0,integer/categorical,Number of vehicles,Number of vehicles,vehicle_count,
vehicle_id,0,0,0,0,0,1,0,numeric,Vehicle ID,Vehicle ID,vehid,
vehicleused,0,0,1,0,0,0,0,integer/categorical,Vehicle uses most often,Vehicle uses most often,vehicleused,
vehnum,0,0,0,0,0,1,0,numeric,Vehicle number,Vehicle number,vehnum,
walk_freq,0,0,1,0,0,0,0,integer/categorical,How often the person has walked outside for 15 or more minutes in the past 30 days,How often the person has walked outside for 15 or more minutes in the past 30 days,walk_freq,
walk_freq_pre_2023,0,0,1,0,0,0,0,integer/categorical,Times gone for a walk in past 30 days,Times gone for a walk in past 30 days,walk_freq_pre_2023,
work_county,0,0,1,0,0,0,0,integer/categorical,Work address county,Work address county,work_county,
work_in_region,0,0,1,0,0,0,0,integer/categorical,Work is in PSRC MPO area,Work is in PSRC MPO area,work_in_region,
work_jurisdiction,0,0,1,0,0,0,0,integer/categorical,Work address Jurisdiction,Work address Jurisdiction,work_jurisdiction,
work_lat,0,0,1,0,0,0,0,numeric,Work address latitude,Work address latitude,work_lat,
work_lng,0,0,1,0,0,0,0,numeric,Work address longitude,Work address longitude,work_lng,
work_mode,0,0,1,0,0,0,0,integer/categorical,Typical means of travel to work,Typical means of travel to work,work_mode,
work_rgcname,0,0,1,0,0,0,0,integer/categorical,Work address Regional Growth Center name,Work address Regional Growth Center name,work_rgcname,
work_tract20,0,0,1,0,0,0,0,character,Work address: Census Tract,Work address: Census Tract,work_tract20,
workpass,0,0,1,0,0,0,0,integer/categorical,Usual way of paying for parking at work,Usual way of paying for parking at work,workpass,
workplace,0,0,1,0,0,0,0,integer/categorical,Current work location,Current work location,workplace,
year,0,0,0,0,0,1,0,integer/categorical,Vehicle model year,Vehicle model year,year,
