variable,is_checkbox,hh,person,day,trip,vehicle,location,data_type,description,logic,shared_name
prev_res_factors_employment,1,1,0,0,0,0,0,integer/categorical,"Important factor in decision to move away from prior residence -- Employment or commuting considerations (e.g., to take new job or shorten commute)",if moved in last 5 years,prev_res_factors
prev_res_factors_forced,1,1,0,0,0,0,0,integer/categorical,"Important factor in decision to move away from prior residence -- Forced to move out (e.g., building demolished or renovated, asked to leave by landlord, foreclosure)",if moved in last 5 years,prev_res_factors
prev_res_factors_hh_size,1,1,0,0,0,0,0,integer/categorical,"Important factor in decision to move away from prior residence -- Changes in household size, establish own household",if moved in last 5 years,prev_res_factors
prev_res_factors_housing_cost,1,1,0,0,0,0,0,integer/categorical,Important factor in decision to move away from prior residence -- Could no longer afford previous residence because of an increase in rent or housing costs,if moved in last 5 years,prev_res_factors
prev_res_factors_income_change,1,1,0,0,0,0,0,integer/categorical,Important factor in decision to move away from prior residence -- Could no longer afford previous residence because of a change in income or finances,if moved in last 5 years,prev_res_factors
prev_res_factors_less_space,1,1,0,0,0,0,0,integer/categorical,Important factor in decision to move away from prior residence -- Needed less space,if moved in last 5 years,prev_res_factors
prev_res_factors_more_space,1,1,0,0,0,0,0,integer/categorical,Important factor in decision to move away from prior residence -- Needed more space,if moved in last 5 years,prev_res_factors
prev_res_factors_no_answer,1,1,0,0,0,0,0,integer/categorical,Important factor in decision to move away from prior residence -- Prefer not to answer,if moved in last 5 years,prev_res_factors
prev_res_factors_other,1,1,0,0,0,0,0,integer/categorical,Important factor in decision to move away from prior residence -- Other,if moved in last 5 years,prev_res_factors
prev_res_factors_quality,1,1,0,0,0,0,0,integer/categorical,Important factor in decision to move away from prior residence -- To upgrade to a better quality home or to stop renting and buy a home,if moved in last 5 years,prev_res_factors
prev_res_factors_school,1,1,0,0,0,0,0,integer/categorical,Important factor in decision to move away from prior residence -- Access to a different K-12 school,if moved in last 5 years,prev_res_factors
prev_res_factors_telework,1,1,0,0,0,0,0,integer/categorical,Important factor in decision to move away from prior residence -- Employer's telework policy removed need to live in previous residence,if moved in the last 5 years,prev_res_factors
prev_res_factors_specify,0,1,0,0,0,0,0,character,"Other factor in decision to move away from prior residence, write-in text","if selected ""other"" factor in decision to move",prev_res_factors_specify
prev_res_type,0,1,0,0,0,0,0,integer/categorical,Previous home residence type,if moved in last 5 years,prev_res_type
proxy_complete,0,0,0,1,0,0,0,integer/categorical,Proxy completion status,,proxy_complete
proxy_parent,0,0,1,0,0,0,0,integer/categorical,Person is proxy reporter for children in household,if hhgroup = rMove,proxy_parent
pt_density,0,0,0,0,1,0,0,numeric,Location points per minute (time adjusted for probable trip splitting),,pt_density
race_afam,1,0,1,0,0,0,0,integer/categorical,Race -- African American or Black,if age 18+,race
race_aiak,1,0,1,0,0,0,0,integer/categorical,Race -- American Indian or Alaska Native,if age 18+,race
race_asian,1,0,1,0,0,0,0,integer/categorical,Race -- Asian,if age 18+,race
race_hapi,1,0,1,0,0,0,0,integer/categorical,Race -- Native Hawaiian or Pacific Islander,if age 18+,race
race_hisp,1,0,1,0,0,0,0,integer/categorical,Race -- Hispanic,if age 18+,race
race_noanswer,1,0,1,0,0,0,0,integer/categorical,Race -- Prefer not to answer,if age 18+,race
race_other,1,0,1,0,0,0,0,integer/categorical,Race -- Other,if age 18+,race
race_white,1,0,1,0,0,0,0,integer/categorical,Race -- White,if age 18+,race
race_category,0,0,1,0,0,0,0,integer/categorical,Race Group,,race_category
race_other_specify,0,0,1,0,0,0,0,character,Other race textbox answer,"if selected ""other"" race",race_other_specify
relationship,0,0,1,0,0,0,0,integer/categorical,Relationship to primary respondent,,relationship
remote_class_freq,0,0,1,0,0,0,0,integer/categorical,"How often the person attends classes online from a location that is not school (e.g., home, library, coffee shop)",if adult student or if child who is not cared for at home or attending daycare,remote_class_freq
rent_own,0,1,0,0,0,0,0,integer/categorical,Residence tenure status,,rent_own
res_dur,0,1,0,0,0,0,0,integer/categorical,How long lived in current residence,,res_dur
res_months,0,1,0,0,0,0,0,integer/categorical,Months per year live in residence where survey invitation received,,res_months
res_type,0,1,0,0,0,0,0,integer/categorical,Type of residence,,res_type
sample_segment,0,1,0,0,0,0,0,integer/categorical,Sample segment,,sample_segment
school_county,0,0,1,0,0,0,0,integer/categorical,School address: County,,school_county
school_freq,0,0,1,0,0,0,0,integer/categorical,How often travels to school,if student,school_freq
school_in_region,0,0,1,0,0,0,0,integer/categorical,School is in PSRC MPO area,,school_in_region
school_jurisdiction,0,0,1,0,0,0,0,integer/categorical,School address Jurisdiction,,school_jurisdiction
school_loc_lat,0,0,1,0,0,0,0,numeric,School address latitude,if traveled to school last week,school_loc_lat
school_loc_lng,0,0,1,0,0,0,0,numeric,School address longitude,if traveled to school last week,school_loc_lng
school_mode_typical,0,0,1,0,0,0,0,integer/categorical,How does child/adult student typically travel to/from school or daycare,if adult student or child who attends schoool or daycare in person fully or partially,school_mode_typical
school_rgcname,0,0,1,0,0,0,0,integer/categorical,School address Regional Growth Center name,if travels to school,school_rgcname
school_tract20,0,0,1,0,0,0,0,character,School address: Census Tract,,school_tract20
schooltype,0,0,1,0,0,0,0,integer/categorical,Type of school attended,if household has 1 or more related children age 0-17 or 1 or more participating adult students,schooltype
second_home,0,0,1,0,0,0,0,integer/categorical,"Person regularly spends the night at a second home (e.g., another parent or grandparent's house, partner or spouses' home, vacation home)",,second_home
second_home_in_region,0,0,1,0,0,0,0,integer/categorical,Second home is in PSRC MPO area,,second_home_in_region
second_home_lat,0,0,1,0,0,0,0,numeric,Second home latitude,If person regularly spends the night at a second home,second_home_lat
second_home_lon,0,0,1,0,0,0,0,numeric,Second home longitude,If person regularly spends the night at a second home,second_home_lon
sexuality,0,0,1,0,0,0,0,integer/categorical,Sexuality,if age 18+,sexuality
share_1,1,0,1,0,0,0,0,integer/categorical,Typical travel methods -- Walk (outside for 15-minutes or more),if age 18+,share
share_2,1,0,1,0,0,0,0,integer/categorical,Typical travel methods -- Bike (outside for 15-minutes or more),if age 18+,share
share_3,1,0,1,0,0,0,0,integer/categorical,"Typical travel methods -- Transit (e.g., bus, rail, ferry)",if age 18+,share
share_4,1,0,1,0,0,0,0,integer/categorical,"Typical travel methods -- Rideshare (Uber, Lyft, other smartphone-app car service)",if age 18+,share
share_5,1,0,1,0,0,0,0,integer/categorical,"Typical travel methods -- Carshare (e.g., Turo, ZipCar, Getaround, GIG)",if age 18+,share
share_996,1,0,1,0,0,0,0,integer/categorical,Typical travel methods -- None of the above,if age 18+,share
speed_flag,0,0,0,0,1,0,0,integer/categorical,Unusually high speed given mode,,speed_flag
speed_mph,0,0,0,0,1,0,0,numeric,Trip speed in miles per hour (derived),,speed_mph
summary_complete,0,0,0,1,0,0,0,integer/categorical,Daily survey is complete,,summary_complete
survey_year,0,1,1,1,1,1,0,integer/categorical,Survey data collection year,,survey_year
surveyable,0,0,1,1,0,0,0,integer/categorical,Survey participant is related to person 1,,surveyable
svy_complete,0,0,0,0,1,0,0,integer/categorical,Trip survey is complete,,svy_complete
taxi_cost_int,0,0,0,0,1,0,0,numeric,Amount paid for taxi,"if taxi_cost_known = ""Yes""",taxi_cost_int
taxi_cost_known,0,0,0,0,1,0,0,integer/categorical,Knows amount paid for taxi,if mode or transit_access or transit_egress = taxi,taxi_cost_known
telecommute_freq,0,0,1,0,0,0,0,integer/categorical,How many days typically working from home,if commute frequency is not 6-7 days a week,telecommute_freq
telework_time,0,0,0,1,0,0,0,integer/categorical,Telework time on travel day,2017-2021: if age 18+ and full/part/self employed,telework_time
tnc_freq,0,0,1,0,0,0,0,integer/categorical,"How often the person has used Uber, Lyft, or other smartphone-app car services in the past 30 days",if age 18+ and uses rideshare (share_4 = 1),tnc_freq
toll_transponder,0,0,0,0,0,1,0,integer/categorical,Vehicle has toll transponder,if number of vehicles > 0,toll_transponder
trace_quality_flag,0,0,0,0,1,0,0,integer/categorical,Flag. Trip trace data of poor quality,,trace_quality_flag
tran_pass_1,0,0,1,0,0,0,0,integer/categorical,Available and typically use when riding transit: Cash,if ridden transit in past 30 days,tran_pass_1
tran_pass_10,0,0,1,0,0,0,0,integer/categorical,Available and typically use when riding transit: Ride free,if ridden transit in past 30 days,tran_pass_10
tran_pass_11,0,0,1,0,0,0,0,integer/categorical,Available and typically use when riding transit: Other,if ridden transit in past 30 days,tran_pass_11
tran_pass_12,0,0,1,0,0,0,0,integer/categorical,School pays for part of all of pass value,"if age = 12+, travels to school, and uses transit pass",tran_pass_12
tran_pass_2,0,0,1,0,0,0,0,integer/categorical,Available and typically use when riding transit: Tickets,if ridden transit in past 30 days,tran_pass_2
tran_pass_3,0,0,1,0,0,0,0,integer/categorical,Available and typically use when riding transit: ORCA card,if ridden transit in past 30 days,tran_pass_3
tran_pass_4,0,0,1,0,0,0,0,integer/categorical,Available and typically use when riding transit: UPass or Husky Card,if ridden transit in past 30 days,tran_pass_4
tran_pass_5,0,0,1,0,0,0,0,integer/categorical,Available and typically use when riding transit: Regional Reduced-Fare Permit,if ridden transit in past 30 days,tran_pass_5
tran_pass_6,0,0,1,0,0,0,0,integer/categorical,Available and typically use when riding transit: Flexpass/Passport,if ridden transit in past 30 days,tran_pass_6
tran_pass_7,0,0,1,0,0,0,0,integer/categorical,Available and typically use when riding transit: Access Pass,if ridden transit in past 30 days,tran_pass_7
tran_pass_8,0,0,1,0,0,0,0,integer/categorical,Available and typically use when riding transit: School District Card/Pass,if ridden transit in past 30 days,tran_pass_8
tran_pass_9,0,0,1,0,0,0,0,integer/categorical,Available and typically use when riding transit: City/County Employee Badge,if ridden transit in past 30 days,tran_pass_9
transit_freq,0,0,1,0,0,0,0,integer/categorical,"How often the person used transit (e.g., bus, rail, ferry) in the past 30 days",if age 18+ and uses transit (share_3 = 1),transit_freq
transit_frequency,0,0,1,0,0,0,0,integer/categorical,"How often the person used transit (e.g., bus, rail, ferry) in the past 30 days",,transit_frequency
transit_pass,0,0,1,0,0,0,0,integer/categorical,Respondent has transit pass,if age 18+,transit_pass
travel_date,0,0,0,1,1,0,0,date,Travel date,,travel_date
travel_day,0,0,0,1,1,0,0,integer/categorical,Is travel day,,travel_day
travel_dow,0,0,0,1,1,0,0,integer/categorical,Travel day of week,,travel_dow
traveldate_end,0,1,1,0,0,0,0,date,Last travel date,2019: if hhgroup = rMove; 2023: all households,traveldate_end
traveldate_start,0,1,1,0,0,0,0,date,First travel date,,traveldate_start
travelers_hh,0,0,0,0,1,0,0,numeric,Number of household members on trip (including self),,travelers_hh
travelers_nonhh,0,0,0,0,1,0,0,integer/categorical,Number of non-household members on trip,,travelers_nonhh
travelers_total,0,0,0,0,1,0,0,integer/categorical,Number of total travelers on trip (including self),,travelers_total
trip_id,0,0,0,0,1,0,1,character,Trip ID (unique),,trip_id
trip_weight,0,0,0,0,1,0,0,numeric,Trip-level weight,,trip_weight
trip_weight_2017_2019_combined,0,0,0,0,1,0,0,numeric,Trip-level weight for 2017 and 2019 combined,,trip_weight_2017_2019_combined
tripnum,0,0,0,0,1,0,0,numeric,Trip sequence number,,tripnum
trips_yesno,0,0,0,1,0,0,0,integer/categorical,Made trips on travel day (derived for children under 18 in 2021),,trips_yesno
user_added,0,0,0,0,1,0,0,integer/categorical,User added trip,,user_added
user_merged,0,0,0,0,1,0,0,integer/categorical,User merged 2 or more trips,if hhgroup = rMove,user_merged
user_split,0,0,0,0,1,0,0,integer/categorical,User split trip,if hhgroup = rMove,user_split
vehicle_count,0,1,0,0,0,0,0,integer/categorical,Number of vehicles,,vehicle_count
vehicle_id,0,0,0,0,0,1,0,numeric,Vehicle ID,,vehicle_id
vehicleused,0,0,1,0,0,0,0,integer/categorical,Vehicle uses most often,if has license,vehicleused
vehnum,0,0,0,0,0,1,0,numeric,Vehicle number,,vehnum
walk_freq,0,0,1,0,0,0,0,integer/categorical,How often the person has walked outside for 15 or more minutes in the past 30 days,if age 18+ and walks (share_1 = 1),walk_freq
walk_freq_pre_2023,0,0,1,0,0,0,0,integer/categorical,Times gone for a walk in past 30 days,,walk_freq_pre_2023
walk_frequency,0,0,1,0,0,0,0,integer/categorical,How often the person has walked outside for 15 or more minutes in the past 30 days,,walk_frequency
work_county,0,0,1,0,0,0,0,integer/categorical,Work address county,if workplace = fixed,work_county
work_in_region,0,0,1,0,0,0,0,integer/categorical,Work is in PSRC MPO area,,work_in_region
work_jurisdiction,0,0,1,0,0,0,0,integer/categorical,Work address Jurisdiction,,work_jurisdiction
work_lat,0,0,1,0,0,0,0,numeric,Work address latitude,if workplace = fixed,work_lat
work_lng,0,0,1,0,0,0,0,numeric,Work address longitude,if workplace = fixed,work_lng
work_mode,0,0,1,0,0,0,0,integer/categorical,Typical means of travel to work,if employment = full/part/self/volunteer,work_mode
work_rgcname,0,0,1,0,0,0,0,integer/categorical,Work address Regional Growth Center name,if workplace = fixed,work_rgcname
work_tract20,0,0,1,0,0,0,0,character,Work address: Census Tract,,work_tract20
workpass,0,0,1,0,0,0,0,integer/categorical,Usual way of paying for parking at work,if parks at work,workpass
workplace,0,0,1,0,0,0,0,integer/categorical,Current work location,if full/part/self employed,workplace
year,0,0,0,0,0,1,0,integer/categorical,Vehicle model year,,year
